Date,aapl-open,aapl-close,amzn-open,amzn-close,googl-open,googl-close,hcity-open,hcity-close,isrg-open,isrg-close,msft-open,msft-close,nflx-open,nflx-close,nvda-open,nvda-close
16-Feb-18,172.36,172.43,1457.37,1448.69,1093.38,1095.5,24.74,24.68,418.56,415.98,92.45,92.0,278.73,278.52,245.4,243.84
15-Feb-18,169.79,172.99,1466.89,1461.76,1083.45,1091.36,24.31,24.73,413.0,418.56,91.21,92.66,270.03,280.27,244.785,246.5
14-Feb-18,163.045,167.37,1406.25,1451.05,1054.32,1072.7,24.19,24.29,397.51,409.89,88.51,90.81,260.47,266.0,231.0,241.42
13-Feb-18,161.95,164.34,1385.93,1414.51,1050.0,1054.14,23.99,24.13,396.66,402.0,88.93,89.83,257.29,258.27,226.56,232.63
12-Feb-18,158.5,162.71,1364.67,1386.23,1056.67,1054.56,23.52,23.96,395.5,398.51,88.735,89.13,252.14,257.95,235.355,228.03
9-Feb-18,157.07,156.41,1373.49,1339.6,1025.88,1046.27,23.64,23.47,386.93,392.91,86.3,88.18,253.85,249.47,238.25,232.08
8-Feb-18,160.29,155.15,1429.67,1350.5,1059.87,1007.71,23.7,23.64,400.48,381.87,89.71,85.01,267.08,250.1,233.88,217.52
7-Feb-18,163.085,159.54,1449.0,1416.78,1084.97,1055.41,23.15,23.94,407.12,399.53,90.49,89.61,266.58,264.56,229.58,228.8
6-Feb-18,154.83,163.03,1361.46,1442.84,1033.98,1084.43,23.97,23.15,390.68,408.33,86.89,91.33,247.7,265.72,204.4,225.58
5-Feb-18,159.1,156.49,1402.62,1390.0,1100.61,1062.39,23.97,23.15,415.67,399.01,90.56,88.0,262.0,254.26,227.0,213.7
2-Feb-18,166.0,160.5,1477.39,1429.95,1127.42,1119.2,23.81,23.97,423.01,416.96,93.64,91.78,263.0,267.43,237.0,233.52
1-Feb-18,167.165,167.78,1445.0,1390.0,1175.99,1181.59,23.99,23.91,432.61,425.92,94.79,94.26,266.41,265.07,238.52,240.5
31-Jan-18,166.87,167.43,1451.3,1450.89,1183.81,1182.22,23.42,23.99,430.0,431.67,93.75,95.01,281.94,270.3,245.77,245.8
30-Jan-18,165.525,166.97,1403.17,1437.82,1177.72,1177.37,23.79,23.51,433.2,427.84,93.3,92.74,277.0,278.8,241.11,242.72
29-Jan-18,170.16,167.96,1409.18,1417.68,1188.0,1186.48,24.0,23.69,441.77,436.34,95.14,93.92,274.2,284.59,242.74,246.85
26-Jan-18,172.0,171.51,1392.01,1402.05,1187.53,1187.56,24.09,23.99,437.87,440.24,93.12,94.06,271.485,274.6,238.12,243.33
25-Jan-18,174.505,171.11,1368.0,1377.95,1180.71,1182.14,23.8,24.0,441.82,449.81,92.465,92.33,263.0,269.7,238.0,236.35
24-Jan-18,177.25,174.22,1374.82,1357.51,1184.98,1171.29,24.01,23.7,441.74,437.48,92.55,91.82,250.88,261.3,239.04,235.8
23-Jan-18,177.3,177.04,1338.09,1362.54,1170.62,1176.17,23.64,24.01,433.74,439.55,91.9,91.9,255.05,250.29,235.85,238.91
22-Jan-18,177.3,177.0,1297.17,1327.31,1143.82,1164.16,23.24,23.35,435.0,433.94,90.0,91.61,222.0,227.58,230.43,233.69
19-Jan-18,178.61,178.46,1312.0,1294.58,1138.03,1143.5,23.25,23.24,433.96,433.23,90.14,90.0,222.75,220.46,228.09,230.11
18-Jan-18,179.37,179.26,1293.95,1293.32,1139.35,1135.97,23.57,23.25,431.38,432.07,89.8,90.1,220.34,220.33,223.94,224.44
17-Jan-18,176.15,179.1,1312.24,1295.0,1136.36,1139.1,23.38,23.38,423.6,431.1,89.08,90.14,221.0,217.5,220.7,224.72
16-Jan-18,177.9,176.19,1323.0,1304.86,1140.31,1130.7,22.56,23.38,422.0,420.07,90.1,88.35,224.24,221.53,224.05,220.11
15-Jan-18,177.9,176.19,1323.0,1304.86,1140.31,1130.7,23.0,23.03,422.0,420.07,90.1,88.35,224.24,221.53,224.05,220.11
12-Jan-18,176.18,177.09,1273.39,1305.2,1110.1,1130.65,23.26,23.05,419.13,419.04,88.67,89.6,217.18,221.23,223.6,222.98
11-Jan-18,174.59,175.28,1259.74,1276.68,1112.31,1112.05,23.1,23.26,422.0,421.37,88.13,88.08,214.29,217.24,225.0,224.08
10-Jan-18,173.16,174.29,1245.15,1254.33,1107.0,1110.14,23.35,23.06,423.51,423.76,87.86,87.82,207.57,212.52,218.2,223.68
9-Jan-18,174.55,174.33,1256.9,1252.7,1118.44,1112.79,23.7,23.34,393.73,397.6,88.65,88.22,212.11,209.31,222.22,221.94
8-Jan-18,174.35,174.35,1236.0,1246.87,1111.0,1114.21,23.3,23.59,378.72,391.86,88.2,88.28,210.02,212.05,220.4,222.0
5-Jan-18,173.44,175.0,1217.51,1229.14,1103.45,1110.29,23.88,23.78,380.88,379.01,87.66,88.19,207.25,209.99,214.19,215.4
4-Jan-18,172.54,173.03,1205.0,1209.59,1097.09,1095.76,24.09,23.78,385.73,376.92,86.59,87.11,206.2,205.63,215.76,213.59
3-Jan-18,172.53,172.23,1188.3,1204.2,1073.93,1091.52,24.15,24.09,377.12,383.82,86.055,86.35,202.05,205.05,204.1,212.47
2-Jan-18,170.16,172.26,1172.0,1189.01,1053.02,1073.21,24.25,24.14,367.89,375.25,86.125,85.95,196.1,201.07,195.78,199.35
1-Jan-18,170.16,172.26,1172.0,1189.01,1053.02,1073.21,24.25,24.14,367.89,375.25,86.125,85.95,196.1,201.07,195.78,199.35
29-Dec-17,170.52,169.23,1182.35,1169.47,1055.49,1053.4,23.81,24.25,368.57,364.94,85.63,85.54,192.51,191.96,198.46,193.5
28-Dec-17,171.0,171.08,1189.0,1186.1,1062.25,1055.95,23.4,23.81,368.16,368.87,85.9,85.72,187.18,192.71,198.13,197.4
27-Dec-17,170.1,170.6,1179.91,1182.26,1066.6,1060.2,22.15,23.38,366.0,368.09,85.65,85.71,187.8,186.24,196.9,197.17
26-Dec-17,170.8,170.57,1168.36,1176.76,1068.64,1065.85,22.53,22.14,361.89,365.83,85.31,85.4,189.78,187.76,193.03,197.44
25-Dec-17,170.8,170.57,1168.36,1176.76,1068.64,1065.85,22.53,22.14,361.89,365.83,85.31,85.4,189.78,187.76,193.03,197.44
22-Dec-17,174.68,175.01,1172.08,1168.36,1070.0,1068.86,22.57,22.53,361.0,363.16,85.4,85.51,188.33,189.94,194.4,195.27
21-Dec-17,174.17,175.01,1175.9,1174.76,1075.39,1070.85,22.75,22.54,368.09,361.33,86.05,85.5,189.44,188.62,196.94,195.89
20-Dec-17,174.87,174.35,1190.5,1177.62,1080.92,1073.56,23.18,22.74,367.13,367.21,86.2,85.52,187.94,188.82,197.7,196.8
19-Dec-17,175.03,174.54,1189.15,1187.38,1083.02,1079.78,23.5,23.08,371.49,367.35,86.35,85.83,190.18,187.02,197.52,196.11
18-Dec-17,174.88,176.42,1187.37,1190.58,1076.45,1085.09,22.94,23.4,372.08,371.9,87.12,86.38,191.2,190.42,193.2,197.9
15-Dec-17,173.63,173.97,1179.03,1179.14,1063.78,1072.0,22.3,22.93,364.13,369.87,85.26,86.85,189.61,190.12,188.251,191.56
14-Dec-17,172.4,172.22,1163.71,1174.26,1055.49,1057.47,22.21,22.08,370.0,360.56,85.43,84.69,187.98,189.56,185.92,186.47
13-Dec-17,172.5,172.27,1170.0,1164.13,1052.08,1051.39,21.98,22.21,370.49,371.08,85.74,85.35,186.1,187.86,192.5,186.18
12-Dec-17,172.15,171.7,1166.51,1165.08,1050.0,1048.77,21.98,22.21,373.55,370.49,85.31,85.58,186.01,185.73,192.9,190.84
11-Dec-17,169.2,172.67,1164.6,1168.92,1051.11,1051.97,21.65,21.97,378.34,373.55,84.29,85.23,187.85,186.22,192.06,194.66
8-Dec-17,170.49,169.37,1170.4,1162.0,1051.81,1049.38,21.67,22.27,386.61,379.61,83.63,84.16,186.5,188.54,194.01,191.49
7-Dec-17,169.03,169.32,1156.59,1159.79,1036.07,1044.57,22.01,21.63,381.71,383.78,82.54,82.49,185.71,185.2,191.96,191.99
6-Dec-17,167.5,169.01,1137.99,1152.35,1016.52,1032.72,22.57,21.99,368.79,379.04,81.55,82.78,183.38,185.3,185.7,189.26
5-Dec-17,169.06,169.64,1128.26,1141.57,1010.99,1019.6,22.24,22.57,369.69,369.5,81.34,81.59,183.5,184.21,182.4,187.74
4-Dec-17,172.48,169.8,1173.85,1133.95,1027.8,1011.87,22.47,22.24,399.83,369.95,84.42,81.08,189.36,184.04,200.05,186.66
1-Dec-17,169.95,171.05,1172.05,1162.35,1030.41,1025.07,22.43,22.47,398.6,396.66,83.6,84.26,186.99,186.82,199.31,197.68
30-Nov-17,170.43,171.85,1167.1,1176.75,1039.94,1036.17,22.57,22.42,398.0,399.78,83.51,84.17,190.31,187.58,199.2,200.71
29-Nov-17,172.63,169.48,1194.8,1161.27,1056.18,1037.38,22.63,22.69,402.37,394.3,84.71,83.34,198.91,188.15,210.01,196.42
28-Nov-17,174.3,173.07,1204.88,1193.6,1073.99,1063.29,22.54,22.63,404.48,402.23,84.07,84.88,195.34,199.18,214.35,210.71
27-Nov-17,175.05,174.09,1202.66,1195.83,1058.57,1072.01,22.11,22.55,399.0,403.7,83.31,83.87,195.56,195.05,217.31,214.14
24-Nov-17,175.1,174.97,1160.7,1186.0,1054.39,1056.52,22.8,22.49,396.59,398.15,83.01,83.26,196.65,195.75,215.59,216.96
23-Nov-17,175.1,174.97,1160.7,1186.0,1054.39,1056.52,22.87,22.8,396.59,398.15,83.01,83.26,196.65,195.75,215.59,216.96
22-Nov-17,173.36,174.96,1141.0,1156.16,1051.16,1051.92,23.05,22.87,398.0,396.59,83.83,83.11,196.58,196.32,217.0,214.93
21-Nov-17,170.78,173.14,1132.86,1139.49,1040.04,1050.3,22.82,23.04,396.22,398.49,82.74,83.72,195.04,196.23,215.69,216.05
20-Nov-17,170.29,169.98,1129.77,1126.31,1036.0,1034.66,22.82,23.04,392.48,393.03,82.4,82.53,193.3,194.1,211.99,214.08
17-Nov-17,171.04,170.15,1138.28,1129.88,1049.8,1035.89,22.96,22.81,394.75,392.48,83.12,82.4,195.74,193.2,213.92,211.36
16-Nov-17,171.18,171.1,1130.16,1137.29,1038.75,1048.47,23.09,22.96,390.62,393.8,83.1,83.2,194.33,195.51,212.98,211.61
15-Nov-17,169.97,169.08,1127.01,1126.69,1035.0,1036.41,22.61,23.09,390.25,389.69,83.47,82.98,194.54,192.12,211.95,209.98
14-Nov-17,173.04,171.34,1130.11,1136.84,1037.72,1041.64,22.7,22.61,391.03,390.97,83.5,84.05,193.64,195.71,213.0,214.18
13-Nov-17,173.5,173.97,1123.0,1129.17,1040.8,1041.2,22.63,22.7,388.85,392.12,83.66,83.93,191.12,195.08,216.14,212.63
10-Nov-17,175.11,174.67,1126.1,1125.35,1043.87,1044.15,23.11,22.65,389.81,389.15,83.79,83.87,191.61,192.02,213.08,216.14
9-Nov-17,175.11,175.88,1125.96,1129.13,1048.0,1047.72,22.95,23.14,391.56,390.0,84.11,84.09,194.46,193.9,205.27,205.32
8-Nov-17,174.66,176.24,1122.82,1132.88,1050.05,1058.29,23.3,23.03,391.0,392.34,84.14,84.56,196.0,196.44,211.85,209.16
7-Nov-17,173.91,174.81,1124.74,1123.17,1049.65,1052.39,23.65,23.29,386.18,391.04,84.77,84.27,200.0,195.89,210.55,212.03
6-Nov-17,172.365,174.25,1109.15,1120.66,1049.1,1042.68,23.3,23.59,383.14,384.83,84.2,84.47,200.0,200.13,207.2,209.63
3-Nov-17,174.0,172.5,1091.15,1111.6,1042.75,1049.99,23.64,23.4,380.65,384.25,84.08,84.14,199.8,200.01,207.2,208.69
2-Nov-17,167.64,168.11,1097.81,1094.22,1039.99,1042.97,23.64,23.4,377.94,379.75,83.35,84.05,197.45,199.32,206.0,205.94
1-Nov-17,169.87,166.89,1105.4,1103.68,1036.32,1042.6,23.43,23.45,377.31,376.04,83.68,83.18,197.24,198.0,209.35,207.2
31-Oct-17,167.9,169.04,1109.0,1105.28,1033.0,1033.04,22.96,23.42,376.05,375.36,84.36,83.18,198.21,196.43,205.13,206.81
30-Oct-17,163.89,166.72,1095.01,1110.85,1029.16,1033.13,22.84,22.95,373.99,376.09,83.7,83.89,199.62,198.37,201.86,203.84
27-Oct-17,159.29,163.05,1058.14,1100.95,1030.99,1033.67,23.13,22.84,373.98,373.78,84.37,83.81,197.2,199.54,197.8,201.86
26-Oct-17,157.23,157.41,980.33,972.43,998.47,991.42,23.14,23.12,373.5,372.36,79.2,78.76,194.66,195.21,194.78,195.69
25-Oct-17,156.91,156.41,978.0,972.91,986.27,991.46,23.25,23.13,371.63,372.42,78.58,78.63,195.38,193.77,197.08,193.66
24-Oct-17,156.29,157.1,969.0,975.9,986.5,988.49,22.8,23.4,372.64,371.49,78.9,78.86,192.75,196.02,196.99,198.68
23-Oct-17,156.89,156.17,986.73,966.3,1005.18,985.54,23.36,22.66,372.5,373.52,78.99,78.83,194.17,192.47,197.78,196.62
20-Oct-17,156.61,156.25,993.53,982.91,1007.05,1005.07,23.5,23.36,357.48,369.58,78.32,78.81,195.9,194.16,198.49,196.9
19-Oct-17,156.75,155.98,990.0,986.61,1004.75,1001.84,22.6,23.46,355.42,357.46,77.57,77.91,193.01,195.13,194.44,197.8
18-Oct-17,160.42,159.76,1009.27,997.0,1011.05,1012.74,22.4,22.57,357.27,354.37,77.67,77.61,199.99,195.54,198.11,197.58
17-Oct-17,159.78,160.47,1005.59,1009.13,1007.44,1011.0,22.4,22.54,356.01,355.0,77.47,77.59,200.11,199.48,197.09,197.75
16-Oct-17,157.9,159.88,1008.44,1006.34,1009.63,1009.35,22.1,22.38,358.23,353.55,77.42,77.65,201.95,202.68,195.8,197.93
13-Oct-17,156.73,156.99,1007.0,1002.94,1009.11,1007.87,22.06,22.1,363.0,362.29,77.59,77.49,199.7,199.49,193.55,194.59
12-Oct-17,156.35,156.0,996.81,1000.93,1003.84,1005.65,22.02,22.06,363.89,362.53,76.49,77.12,196.75,195.86,191.08,191.03
11-Oct-17,155.97,156.55,991.27,995.0,989.04,1005.65,21.7,22.02,357.29,360.29,76.36,76.42,195.57,194.95,189.6,190.94
10-Oct-17,156.055,155.9,996.67,987.2,995.3,987.8,21.54,21.7,356.91,354.99,76.33,76.29,197.85,195.08,191.43,188.93
